ped,year,x,y
0.043478261,2011,209237.5569,711628.0992
0.058823529,2011,198261.0333,688411.176
0.333333333,2011,204928.3823,712312.9808
0.058823529,2011,185279.8773,574781.8654
0.19047619,2011,186075.0373,664914.1637
0,2011,195276.407,663147.693
0.285714286,2011,223062.4398,731638.8091
0.2,2011,255953.3204,763666.7383
0.153846154,2011,221258.3241,735858.6397
0.285714286,2011,213484.9019,633641.3781
0.12987013,2011,192736.1735,712855.8218
0.172413793,2011,161853.6833,603953.7757
0.125,2011,175960.9805,626640.5975
0.285714286,2011,186825.9903,573009.0864
0.136363636,2011,230795.1149,734451.6386
0.25,2011,226247.7155,768737.2069
0,2011,177411.3946,633029.8046
0.191011236,2011,227276.1034,757321.7084
0.26,2011,176773.2174,588617.2577
0,2011,192079.4112,711223.4433
0.066666667,2011,200207.991,645701.6199
1,2011,184634.6097,567181.8731
0,2011,203677.2981,696698.8723
0.1,2011,213374.6999,759652.9886
0,2011,228628.6452,763251.881
0.4,2011,194983.8805,656155.4612
0.519230769,2011,196084.9638,661964.4267
0,2011,209002.2049,708738.6726
0.1,2011,251316.8213,765400.7463
0.375,2011,197358.8695,741270.2953
0.257142857,2011,202602.1187,553029.9717
0.142857143,2011,212129.6086,735221.4453
0.295454545,2011,186588.3236,659471.3286
0.063291139,2011,204344.9586,741703.4878
0.5,2011,184930.6173,649631.406
0.115384615,2011,179217.7094,635457.1174
0.285714286,2011,220151.0134,573794.5091
0.305343511,2011,193982.2397,384601.1613
0.197916667,2011,199782.6636,624450.9704
0.172839506,2011,186798.4471,662934.9997
0.171428571,2011,177362.0581,613281.6054
0.113636364,2011,196550.4375,666814.9584
0.347222222,2011,184507.9311,671981.2669
0.118421053,2011,175078.9669,643145.1924
0.254901961,2011,214214.9183,714102.0366
0.040816327,2011,196099.0598,682303.3879
0.027777778,2011,200706.3096,685368.4038
0.016129032,2011,253643.3399,790131.3797
0.184342032,2011,220183.7413,632033.9331
0.193548387,2011,216862.7944,668104.2558
0.291666667,2011,229773.99,632377.0976
0,2011,209242.4882,675419.0131
0.166666667,2011,215340.4011,641077.3407
0.066666667,2011,201590.9217,675174.4031
0.909090909,2011,210802.9693,622871.3749
0.583333333,2011,204437.4911,648815.6846
0.164251208,2011,198947.2387,744928.038
0,2011,265389.4708,766057.7314
0,2011,272000.9949,796891.5243
0.179865772,2011,180489.6796,665757.436
0.096774194,2011,204103.4231,702912.7022
0.457364341,2011,184664.9222,666370.5283
0.262390671,2011,176423.4831,657968.8081
0.2,2011,182247.9274,664184.7933
0.212121212,2011,184092.1638,675213.4927
0.150159744,2011,191964.8863,705012.6646
0.195694716,2011,179547.8525,657938.5887
0.107438017,2011,249488.8046,743591.7782
0.163636364,2011,210144.2812,745681.4784
0.12,2011,192723.2892,676090.6946
0.259036145,2011,189790.68,650979.2926
0.100401606,2011,159183.2739,618811.6413
0.16,2011,180734.4016,647841.026
0.110638298,2011,227728.0189,734143.2878
0.154425612,2011,186926.721,690287.2458
0.096153846,2011,228479.8393,752272.2282
0.293650794,2011,208329.246,758645.1294
0.178571429,2011,227459.6876,724073.5691
0.135416667,2011,197819.0115,708950.571
0.149408284,2011,189330.9033,666948.3729
0.238095238,2011,247792.468,764037.3763
0.423728814,2011,208058.4158,749680.3738
0.159122085,2011,180285.3817,652959.1938
0.147505423,2011,182861.8575,644475.9211
0.320512821,2011,188065.9515,648252.092
0.269754768,2011,183799.2091,663693.3378
0.125786164,2011,187849.7638,677143.1302
0.080645161,2011,216417.3184,745668.617
0.104166667,2011,218174.2477,751017.3587
0.09919571,2011,179975.3102,573353.3219
0.132450331,2011,209576.4694,768554.9245
0.375,2011,247138.8652,711634.0844
0.222222222,2011,196428.7174,719347.2143
0.125,2011,189533.9203,659908.3691
0.326086957,2011,209407.525,749073.2659
0.307692308,2011,207045.023,750441.7036
0.125,2011,189170.0528,672983.6101
0.058823529,2011,195299.4524,713965.2371
0,2012,251056.6139,763501.3077
0,2012,185249.3083,639415.0948
0.333333333,2012,163796.0529,579871.3594
0,2012,194965.9749,733200.043
0.174496644,2012,167582.8805,635675.818
0,2012,192480.4567,684407.1162
0.03125,2012,173197.8992,633415.377
0.166666667,2012,193789.3813,691409.4079
0.214285714,2012,189481.6015,686635.7491
0.095238095,2012,192057.2281,687138.921
0.5,2012,188390.2327,663143.6488
0.333333333,2012,210054.2295,729138.0086
0.285714286,2012,160457.8459,592170.0098
0.142857143,2012,183287.8371,677054.8301
0,2012,188437.1736,687179.7648
0.25,2012,183680.172,656296.0917
0.095238095,2012,183172.234,641066.4667
0.133333333,2012,210534.3263,634813.9596
0.047619048,2012,216186.6566,762891.9453
0.071428571,2012,230532.1016,731813.4439
0.041666667,2012,238961.93,754631.5461
0,2012,234847.6576,745917.4556
0,2012,217247.3271,760702.7561
0.307692308,2012,235172.6575,733041.7111
0,2012,234775.6209,751882.9747
0,2012,205114.7589,733223.1475
0.266666667,2012,226046.4249,732145.6787
0.078431373,2012,219146.3886,762117.0998
0,2012,219710.219,753010.6368
0.102040816,2012,215528.6721,762047.8286
0.21875,2012,232340.1829,739237.707
0.333333333,2012,224991.2982,745985.5534
0.4,2012,224843.8341,735939.3819
0.142857143,2012,224263.7874,758418.507
0.166666667,2012,230244.8714,760042.0006
0.1,2012,218209.5981,747702.9541
0.5,2012,238039.1012,748962.1562
0.147058824,2012,231930.187,750705.8176
0,2012,195940.4572,722648.1341
0.166666667,2012,222939.5286,754909.8695
0.8,2012,191932.2477,715881.5537
0.048780488,2012,229724.1431,736118.36
0,2012,234657.9896,760394.3696
0.15,2012,181867.5257,659050.8326
0.333333333,2012,195924.5816,673075.2219
0.333333333,2012,197396.0549,670882.8685
0.073170732,2012,197056.5835,669377.863
0.25,2012,209237.5569,711628.0992
0.064516129,2012,198261.0333,688411.176
0,2012,204928.3823,712312.9808
0,2012,185279.8773,574781.8654
0.411764706,2012,186075.0373,664914.1637
0,2012,195276.407,663147.693
0.2,2012,223062.4398,731638.8091
0.333333333,2012,255953.3204,763666.7383
0,2012,221258.3241,735858.6397
0.294117647,2012,213484.9019,633641.3781
0.297297297,2012,192736.1735,712855.8218
0.105263158,2012,161853.6833,603953.7757
0.384615385,2012,175960.9805,626640.5975
0.25,2012,186825.9903,573009.0864
0.144067797,2012,230795.1149,734451.6386
0.157894737,2012,226247.7155,768737.2069
0,2012,177411.3946,633029.8046
0.142857143,2012,227276.1034,757321.7084
0.117647059,2012,176773.2174,588617.2577
0.047619048,2012,192079.4112,711223.4433
0.092715232,2012,200207.991,645701.6199
0.142857143,2012,184634.6097,567181.8731
0.125,2012,203677.2981,696698.8723
0.048387097,2012,213374.6999,759652.9886
0.25,2012,228628.6452,763251.881
0.5,2012,194983.8805,656155.4612
0.269230769,2012,196084.9638,661964.4267
0.272727273,2012,209002.2049,708738.6726
0.166666667,2012,251316.8213,765400.7463
0.428571429,2012,197358.8695,741270.2953
0.310344828,2012,202602.1187,553029.9717
0.090909091,2012,212129.6086,735221.4453
0.224137931,2012,186588.3236,659471.3286
0.049180328,2012,204344.9586,741703.4878
0.230769231,2012,184930.6173,649631.406
0.347826087,2012,179217.7094,635457.1174
0.352941176,2012,220151.0134,573794.5091
0.217391304,2012,193982.2397,384601.1613
0.391304348,2012,199782.6636,624450.9704
0.215384615,2012,186798.4471,662934.9997
0.287878788,2012,177362.0581,613281.6054
0.112903226,2012,196550.4375,666814.9584
0.306122449,2012,184507.9311,671981.2669
0.228915663,2012,175078.9669,643145.1924
0.035294118,2012,214214.9183,714102.0366
0.093023256,2012,196099.0598,682303.3879
0.171428571,2012,200706.3096,685368.4038
0.175438596,2012,253643.3399,790131.3797
0.211525868,2012,220183.7413,632033.9331
0.258064516,2012,216862.7944,668104.2558
0.291666667,2012,229773.99,632377.0976
0.3,2012,209242.4882,675419.0131
0,2012,215340.4011,641077.3407
0.111111111,2012,201590.9217,675174.4031
0.476190476,2012,210802.9693,622871.3749
0.647058824,2012,204437.4911,648815.6846
0.20212766,2012,198947.2387,744928.038
0,2012,265389.4708,766057.7314
0,2012,272000.9949,796891.5243
0.23715847,2012,180489.6796,665757.436
0.088607595,2012,204103.4231,702912.7022
0.438596491,2012,184664.9222,666370.5283
0.308823529,2012,176423.4831,657968.8081
0.211764706,2012,182247.9274,664184.7933
0.195266272,2012,184092.1638,675213.4927
0.186311787,2012,191964.8863,705012.6646
0.219753086,2012,179547.8525,657938.5887
0.082191781,2012,249488.8046,743591.7782
0.12962963,2012,210144.2812,745681.4784
0.181818182,2012,192723.2892,676090.6946
0.296875,2012,189790.68,650979.2926
0.195918367,2012,159183.2739,618811.6413
0.147727273,2012,180734.4016,647841.026
0.134078212,2012,227728.0189,734143.2878
0.162689805,2012,186926.721,690287.2458
0.096153846,2012,228479.8393,752272.2282
0.22,2012,208329.246,758645.1294
0.24137931,2012,227459.6876,724073.5691
0.126582278,2012,197819.0115,708950.571
0.204301075,2012,189330.9033,666948.3729
0.092592593,2012,247792.468,764037.3763
0.326923077,2012,208058.4158,749680.3738
0.200317965,2012,180285.3817,652959.1938
0.233333333,2012,182861.8575,644475.9211
0.264,2012,188065.9515,648252.092
0.279202279,2012,183799.2091,663693.3378
0.161538462,2012,187849.7638,677143.1302
0.095238095,2012,216417.3184,745668.617
0.052631579,2012,218174.2477,751017.3587
0.104105572,2012,179975.3102,573353.3219
0.3,2012,209576.4694,768554.9245
0.176470588,2012,247138.8652,711634.0844
0.214285714,2012,196428.7174,719347.2143
0.523809524,2012,189533.9203,659908.3691
0.196721311,2012,209407.525,749073.2659
0.279411765,2012,207045.023,750441.7036
0.137931034,2012,189170.0528,672983.6101
0,2012,195299.4524,713965.2371
0.2,2013,251056.6139,763501.3077
0.4,2013,185249.3083,639415.0948
0.409090909,2013,163796.0529,579871.3594
0,2013,194965.9749,733200.043
0.219858156,2013,167582.8805,635675.818
0.466666667,2013,192480.4567,684407.1162
0.169811321,2013,173197.8992,633415.377
0.363636364,2013,193789.3813,691409.4079
0,2013,189481.6015,686635.7491
0.153846154,2013,192057.2281,687138.921
0.666666667,2013,188390.2327,663143.6488
0.1875,2013,210054.2295,729138.0086
0.235294118,2013,160457.8459,592170.0098
0.25,2013,183287.8371,677054.8301
1,2013,188437.1736,687179.7648
0.666666667,2013,183680.172,656296.0917
0.285714286,2013,183172.234,641066.4667
0.166666667,2013,210534.3263,634813.9596
0.166666667,2013,216186.6566,762891.9453
0.2,2013,230532.1016,731813.4439
0,2013,238961.93,754631.5461
0.1,2013,234847.6576,745917.4556
0.090909091,2013,217247.3271,760702.7561
0,2013,235172.6575,733041.7111
0.125,2013,234775.6209,751882.9747
0.114285714,2013,205114.7589,733223.1475
0.109090909,2013,226046.4249,732145.6787
0.19047619,2013,219146.3886,762117.0998
0.057142857,2013,219710.219,753010.6368
0.044444444,2013,215528.6721,762047.8286
0.12,2013,232340.1829,739237.707
0.571428571,2013,224991.2982,745985.5534
0,2013,224843.8341,735939.3819
0.071428571,2013,224263.7874,758418.507
0.111111111,2013,230244.8714,760042.0006
0,2013,218209.5981,747702.9541
0,2013,238039.1012,748962.1562
0,2013,231930.187,750705.8176
0.222222222,2013,195940.4572,722648.1341
0.0625,2013,222939.5286,754909.8695
0.5,2013,191932.2477,715881.5537
0.115384615,2013,229724.1431,736118.36
0,2013,234657.9896,760394.3696
0.166666667,2013,181867.5257,659050.8326
0,2013,195924.5816,673075.2219
0.666666667,2013,197396.0549,670882.8685
0,2013,197056.5835,669377.863
0,2013,209237.5569,711628.0992
0.166666667,2013,198261.0333,688411.176
0.040816327,2013,204928.3823,712312.9808
0,2013,185279.8773,574781.8654
0.25,2013,186075.0373,664914.1637
0,2013,195276.407,663147.693
0.424242424,2013,223062.4398,731638.8091
0.666666667,2013,255953.3204,763666.7383
0,2013,221258.3241,735858.6397
0.470588235,2013,213484.9019,633641.3781
0.424242424,2013,192736.1735,712855.8218
0.111111111,2013,161853.6833,603953.7757
0.307692308,2013,175960.9805,626640.5975
0.266666667,2013,186825.9903,573009.0864
0.22826087,2013,230795.1149,734451.6386
0.133333333,2013,226247.7155,768737.2069
0,2013,177411.3946,633029.8046
0.203389831,2013,227276.1034,757321.7084
0.279069767,2013,176773.2174,588617.2577
0.076923077,2013,192079.4112,711223.4433
0.05785124,2013,200207.991,645701.6199
0.142857143,2013,184634.6097,567181.8731
0,2013,203677.2981,696698.8723
0.084337349,2013,213374.6999,759652.9886
0,2013,228628.6452,763251.881
0.428571429,2013,194983.8805,656155.4612
0.235294118,2013,196084.9638,661964.4267
0,2013,209002.2049,708738.6726
0.4,2013,251316.8213,765400.7463
0.379310345,2013,197358.8695,741270.2953
0.466666667,2013,202602.1187,553029.9717
0.352941176,2013,212129.6086,735221.4453
0.379310345,2013,186588.3236,659471.3286
0.034883721,2013,204344.9586,741703.4878
0.388888889,2013,184930.6173,649631.406
0.291666667,2013,179217.7094,635457.1174
0.272727273,2013,220151.0134,573794.5091
0.260869565,2013,193982.2397,384601.1613
0.265625,2013,199782.6636,624450.9704
0.288461538,2013,186798.4471,662934.9997
0.272727273,2013,177362.0581,613281.6054
0.112903226,2013,196550.4375,666814.9584
0.36,2013,184507.9311,671981.2669
0.197183099,2013,175078.9669,643145.1924
0.086538462,2013,214214.9183,714102.0366
0.076923077,2013,196099.0598,682303.3879
0.126436782,2013,200706.3096,685368.4038
0.030612245,2013,253643.3399,790131.3797
0.22515213,2013,220183.7413,632033.9331
0.224489796,2013,216862.7944,668104.2558
0.4,2013,229773.99,632377.0976
0,2013,209242.4882,675419.0131
0,2013,215340.4011,641077.3407
0,2013,201590.9217,675174.4031
0.333333333,2013,210802.9693,622871.3749
0.533333333,2013,204437.4911,648815.6846
0.161025641,2013,198947.2387,744928.038
1,2013,265389.4708,766057.7314
0,2013,272000.9949,796891.5243
0.245528455,2013,180489.6796,665757.436
0.048076923,2013,204103.4231,702912.7022
0.381355932,2013,184664.9222,666370.5283
0.331325301,2013,176423.4831,657968.8081
0.258064516,2013,182247.9274,664184.7933
0.240740741,2013,184092.1638,675213.4927
0.174050633,2013,191964.8863,705012.6646
0.247191011,2013,179547.8525,657938.5887
0.179487179,2013,249488.8046,743591.7782
0.097744361,2013,210144.2812,745681.4784
0.206030151,2013,192723.2892,676090.6946
0.184782609,2013,189790.68,650979.2926
0.171348315,2013,159183.2739,618811.6413
0.237288136,2013,180734.4016,647841.026
0.067510549,2013,227728.0189,734143.2878
0.195652174,2013,186926.721,690287.2458
0.128712871,2013,228479.8393,752272.2282
0.186046512,2013,208329.246,758645.1294
0.278195489,2013,227459.6876,724073.5691
0.06870229,2013,197819.0115,708950.571
0.174311927,2013,189330.9033,666948.3729
0.203703704,2013,247792.468,764037.3763
0.511111111,2013,208058.4158,749680.3738
0.205714286,2013,180285.3817,652959.1938
0.181268882,2013,182861.8575,644475.9211
0.35483871,2013,188065.9515,648252.092
0.297376093,2013,183799.2091,663693.3378
0.270072993,2013,187849.7638,677143.1302
0.072463768,2013,216417.3184,745668.617
0.181818182,2013,218174.2477,751017.3587
0.110456554,2013,179975.3102,573353.3219
0.237623762,2013,209576.4694,768554.9245
0.1,2013,247138.8652,711634.0844
0.075,2013,196428.7174,719347.2143
0.5,2013,189533.9203,659908.3691
0.32,2013,209407.525,749073.2659
0.141509434,2013,207045.023,750441.7036
0.207317073,2013,189170.0528,672983.6101
0.142857143,2013,195299.4524,713965.2371
0,2014,251056.6139,763501.3077
0,2014,185249.3083,639415.0948
0.157894737,2014,163796.0529,579871.3594
0,2014,194965.9749,733200.043
0.208695652,2014,167582.8805,635675.818
0.076923077,2014,192480.4567,684407.1162
0.333333333,2014,173197.8992,633415.377
0.545454545,2014,193789.3813,691409.4079
0.625,2014,189481.6015,686635.7491
0.222222222,2014,192057.2281,687138.921
0.333333333,2014,188390.2327,663143.6488
0.5,2014,210054.2295,729138.0086
0.133333333,2014,160457.8459,592170.0098
0.25,2014,183287.8371,677054.8301
0,2014,188437.1736,687179.7648
0.666666667,2014,183680.172,656296.0917
0.217391304,2014,183172.234,641066.4667
0,2014,210534.3263,634813.9596
1,2014,216186.6566,762891.9453
0.1,2014,230532.1016,731813.4439
0.073170732,2014,238961.93,754631.5461
0,2014,234847.6576,745917.4556
0,2014,217247.3271,760702.7561
0,2014,235172.6575,733041.7111
0.071428571,2014,234775.6209,751882.9747
0,2014,205114.7589,733223.1475
0.125,2014,226046.4249,732145.6787
0.060606061,2014,219146.3886,762117.0998
0.157894737,2014,219710.219,753010.6368
0.083333333,2014,215528.6721,762047.8286
0.178571429,2014,232340.1829,739237.707
0.173913043,2014,224991.2982,745985.5534
0.2,2014,224843.8341,735939.3819
0.066666667,2014,224263.7874,758418.507
0,2014,230244.8714,760042.0006
0.333333333,2014,218209.5981,747702.9541
0,2014,238039.1012,748962.1562
0.21875,2014,231930.187,750705.8176
0.133333333,2014,195940.4572,722648.1341
0.285714286,2014,222939.5286,754909.8695
0,2014,191932.2477,715881.5537
0.066666667,2014,229724.1431,736118.36
0,2014,234657.9896,760394.3696
0.181818182,2014,181867.5257,659050.8326
0.111111111,2014,195924.5816,673075.2219
1,2014,197396.0549,670882.8685
0.09375,2014,197056.5835,669377.863
0,2014,209237.5569,711628.0992
0.380952381,2014,198261.0333,688411.176
0.03030303,2014,204928.3823,712312.9808
0,2014,185279.8773,574781.8654
0.2,2014,186075.0373,664914.1637
0,2014,195276.407,663147.693
0.233333333,2014,223062.4398,731638.8091
0,2014,255953.3204,763666.7383
0.12,2014,221258.3241,735858.6397
0.363636364,2014,213484.9019,633641.3781
0.333333333,2014,192736.1735,712855.8218
0.269230769,2014,161853.6833,603953.7757
0.296296296,2014,175960.9805,626640.5975
0.625,2014,186825.9903,573009.0864
0.156462585,2014,230795.1149,734451.6386
0.222222222,2014,226247.7155,768737.2069
0,2014,177411.3946,633029.8046
0.271929825,2014,227276.1034,757321.7084
0.35483871,2014,176773.2174,588617.2577
0.111111111,2014,192079.4112,711223.4433
0.158333333,2014,200207.991,645701.6199
0,2014,184634.6097,567181.8731
0.066666667,2014,203677.2981,696698.8723
0.066666667,2014,213374.6999,759652.9886
1,2014,228628.6452,763251.881
0.666666667,2014,194983.8805,656155.4612
0.282608696,2014,196084.9638,661964.4267
0,2014,209002.2049,708738.6726
0.142857143,2014,251316.8213,765400.7463
0.578947368,2014,197358.8695,741270.2953
0.43902439,2014,202602.1187,553029.9717
0.041666667,2014,212129.6086,735221.4453
0.382978723,2014,186588.3236,659471.3286
0.094594595,2014,204344.9586,741703.4878
0.75,2014,184930.6173,649631.406
0.4,2014,179217.7094,635457.1174
0.5,2014,220151.0134,573794.5091
0.29245283,2014,193982.2397,384601.1613
0.245614035,2014,199782.6636,624450.9704
0.271428571,2014,186798.4471,662934.9997
0.234375,2014,177362.0581,613281.6054
0.211267606,2014,196550.4375,666814.9584
0.471698113,2014,184507.9311,671981.2669
0.347826087,2014,175078.9669,643145.1924
0,2014,214214.9183,714102.0366
0.173913043,2014,196099.0598,682303.3879
0.173076923,2014,200706.3096,685368.4038
0.117647059,2014,253643.3399,790131.3797
0.194511703,2014,220183.7413,632033.9331
